Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
"Liu Gexin & family",1.2,China,pharmaceutical,2378,69,"Chengdu, China",China,Married,1,"Medical Doctor, Chongqing Universtiy",1
"Frederic Luddy",1.2,"United States",software,2378,66,"San Diego, California","United States",Single,1,"Drop Out, Indiana University",1
"Bill Malhotra",1.2,Canada,"real estate",2378,71,"Ottawa, Canada",Canada,Married,2,"Bachelor of Engineering, Birla Institute of Technology and Science (BITS) - Pilani",1
"Muneaki Masuda",1.2,Japan,retail,2378,70,"Osaka, Japan",Japan,Married,2,"Bachelor of Arts/Science, Doshisha University",1
"Andrei Molchanov",1.2,Russia,"construction materials",2378,49,"Moscow, Russia",Russia,Married,6,"Masters of Public Administration, Russian State Academy of Management; Bachelor of Arts/Science, St Petersburg State University",1
"Simon Nixon",1.2,"United Kingdom","price comparison website",2378,53,"St. Brelade, Jersey, United Kingdom","United Kingdom",Single,NULL,"Drop Out, Nottingham University",1
"Roberto Ongpin",1.2,Philippines,diversified,2378,84,"Manila, Philippines",Philippines,Married,4,"Master of Business Administration, Harvard University",1
"Eren Ozmen",1.2,"United States",aerospace,2378,62,"Reno, Nevada","United States",Married,2,"Master of Business Administration, University of Nevada at Reno",1
"Chamath Palihapitiya",1.2,"United States",â,2378,44,"Atherton, California","United States","In Relationship",3,"Bachelor of Engineering, University of Waterloo",1
"Rao Wei & family",1.2,China,pharmaceutical,2378,56,"Shenzhen, China",China,NULL,NULL,"Doctorate, Wuhan University of Technology",1
"Andrei Rappoport",1.2,Russia,investments,2378,57,"Moscow, Russia",Russia,Married,2,"Bachelor of Arts/Science, Donetsk National University",1
"Boris Rotenberg",1.2,Russia,"construction, pipes, chemicals",2378,64,"Moscow, Russia",Russia,Married,5,"Bachelor of Arts/Science, Leningrad Institute of Physical Culture",1
"Chris Sacca",1.2,"United States","venture capital investing",2378,45,"Truckee, California","United States",Married,2,"Bachelor of Arts/Science, Georgetown University; Doctor of Jurisprudence, Georgetown University",1
"Alexander Samwer",1.2,Germany,"tech investments",2378,46,"Munich, Germany",Germany,Married,1,"Master of Business Administration, Harvard Business School; Master of Arts, Oxford University",1
"Marc Samwer",1.2,Germany,"tech investments",2378,50,"Munich, Germany",Germany,Married,2,"LLM, University of Cologne",1
"James Scapa",1.2,"United States",software,2378,64,"Atherton, California","United States",Married,4,"Bachelor of Arts/Science, Columbia University; Master of Business Administration, University of Michigan",1
"Albert Shigaboutdinov",1.2,Russia,"refinery, chemicals",2378,68,"Kazan, Russia",Russia,Married,2,"Bachelor of Arts/Science, Kazan State Technical University",1
"Mike Speiser",1.2,"United States",software,2378,50,"San Francisco, California","United States",Single,NULL,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, University of Arizona",1
"Michael Steinhardt",1.2,"United States","hedge funds",2378,80,"Mount Kisco, New York","United States",Married,NULL,"University of Pennsylvania",1
"Nik Storonsky",1.2,"United Kingdom",fintech,2378,36,"London, United Kingdom","United Kingdom",Married,2,"Master of Science, Moscow Institute of Physics and Technology",1
"Sergei Sudarikov",1.2,Russia,"finance, development",2378,49,"Moscow, Russia",Russia,Married,3,"Master of Science, Moscow State University",1
"Rustem Sulteev",1.2,Russia,"refinery, chemicals",2378,67,"Kazan, Russia",Russia,Married,2,"Bachelor of Arts/Science, Kazan Institute of Civil Engineering",1
"Nutchamai Thanombooncharoen",1.2,Thailand,"energy drinks",2378,59,"Bangkok, Thailand",Thailand,Married,2,"Bachelor of Arts/Economics, Silpakorn University; Master of Arts, Thammasat University",1
"Robert Toll",1.2,"United States","home building",2378,80,"Miami Beach, Florida","United States",Married,5,"Bachelor of Arts/Science, Cornell University; LLB, University of Pennsylvania",1
"Wang Jianyi",1.2,China,"fiber optic cables",2378,58,"Hangzhou, China",China,Married,NULL,"Associate in Arts/Science, Zhejiang University of Technology",1
"Wang Qunbin",1.2,China,conglomerate,2378,NULL,"Shanghai, China",China,NULL,NULL,"Bachelor of Arts/Science, Fudan University",1
"Wang Ren-sheng",1.2,Taiwan,retail,2378,89,"Zhengzhou, China",Taiwan,Married,3,"National Taitung University",1
"Allan Wong",1.2,"Hong Kong",electronics,2378,71,"Hong Kong, Hong Kong","Hong Kong",Widowed,2,"Bachelor of Science in Engineering, University of Hong Kong; Master of Science, University of Wisconsin",1
"Wu Li-gann",1.2,Taiwan,"electronic components",2378,80,"Kaohsiung, Taiwan",Taiwan,Married,NULL,"Bachelor of Arts/Science, Tunghai University",1
"Yuan Jiandong & family",1.2,China,pharmaceutical,2378,NULL,"Suzhou, China",China,NULL,NULL,"Bachelor of Arts/Science, Peking University; Doctorate, State University of New York at Albany",1
"Zhang Xi",1.2,China,chemicals,2378,47,"Dongying, China",China,Married,NULL,"Master, University of Houston",1
"Zhou Minghua",1.2,China,pharmaceutical,2378,57,"Linhai, China",China,NULL,NULL,"Bachelor of Science, Zhejiang University of Technology",1
"Zhou Ruxin",1.2,China,Navigation,2378,58,"Beijing, China",China,NULL,NULL,"Master of Business Administration, Beijing University; Master of Science, Nankai University",1
"Radhe Shyam Agarwal",1.1,India,"consumer goods",2524,76,"Kolkata, India",India,Married,3,"LLB, Calcutta University; M.Com, Calcutta University; Chartered Accountant, Institute of Chartered Accountants of India; Company Secretary, Institute of Company Secretaries of India",1
"Binny Bansal",1.1,India,flipkart,2524,38,"Singapore, Singapore",India,Married,2,"Bachelor of Science in Engineering, Indian Institute of Technology",1
"Eduardo Belmont Anderson",1.1,Peru,cosmetics,2524,75,"Lima, Peru",Peru,Married,3,"Bachelor of Arts/Science, University of North Carolina, Chapel Hill",1
"John Bicket",1.1,"United States","sensor systems",2524,41,"San Francisco, California","United States",Married,2,"Bachelor of Science, Cornell University; Master of Science, Massachusetts Institute of Technology",1
"Sanjit Biswas",1.1,"United States","sensor systems",2524,39,"San Francisco, California","United States",Married,3,"Master of Science, Massachusetts Institute of Technology; Bachelor of Science, Stanford University",1
"Lloyd Blankfein",1.1,"United States",banking,2524,66,"New York, New York","United States",Married,3,"Bachelor of Arts/Science, Harvard University; Doctor of Jurisprudence, Harvard University",1
"Chen Jiancheng",1.1,China,manufacturing,2524,62,"Shangyu, China",China,Married,NULL,"Master of Arts, Zhejiang University",1
"Chen Jinshi & family",1.1,China,"construction, real estate",2524,58,"Nantong, China",China,Married,NULL,"EMBA, Fudan University",1
"Weili Dai",1.1,"United States",semiconductors,2524,59,"Las Vegas, Nevada","United States",Married,2,"Bachelor of Arts/Science, University of California, Berkeley",1
"Radhe Shyam Goenka",1.1,India,"consumer goods",2524,75,"Kolkata, India",India,Married,3,"LLB, Calcutta University; M.Com, Calcutta University",1
"David Golub",1.1,"United States","private equity",2524,59,"New York, New York","United States",NULL,NULL,"Bachelor of Arts/Economics, Harvard College; Master of Philosophy, Oxford University; Master of Business Administration, Stanford Business School",1
"Ming Hsieh",1.1,"United States","Fulgent Genetics",2524,65,"Los Angeles, California","United States",Married,2,"Bachelor of Arts/Science, University of Southern California; Master of Science, University of Southern California",1
"Mohammed Ibrahim",1.1,"United Kingdom",communications,2524,75,"London, United Kingdom","United Kingdom",Married,2,"Bachelor of Arts/Science, University of Alexandria; Ph.D, University of Birmingham; Master, University of Bradford",1
"Kenji Kasahara",1.1,Japan,"social network",2524,45,"Tokyo, Japan",Japan,Married,NULL,"Bachelor of Arts/Science, Tokyo University",1
"Richard Kayne",1.1,"United States",investments,2524,75,"Santa Monica, California","United States",Married,3,"Bachelor of Arts/Science, Stanford University; Master of Business Administration, University of California, Los Angeles",1
"Chang-soo Kim",1.1,"South Korea",apparel,2524,60,"Seoul, South Korea","South Korea",NULL,NULL,"Bachelor of Science, Yonsei University",1
"Gennady Kozovoy",1.1,Russia,coal,2524,69,"Mezhdurechensk, Russia",Russia,Married,2,"Bachelor of Arts/Science, Irkutsk Polytechnic Institute",1
"Lee Joong-keun",1.1,"South Korea","construction, real estate",2524,80,"Seoul, South Korea","South Korea",Married,4,"Doctorate, Korea University",1
"Li Qiong",1.1,China,"online games",2524,43,"Beijing, China",China,Divorced,NULL,"Master of Science, Tianjin University",1
"Li Wenmei & family",1.1,China,"medical equipment",2524,58,"Guangzhou, China",China,Married,NULL,"Master, Jilin University",1
"Yasseen Mansour",1.1,Egypt,diversified,2524,59,"Cairo, Egypt",Egypt,Married,4,"Bachelor of Arts/Science, George Washington University",1
"Forrest Preston",1.1,"United States","health care",2524,88,"Cleveland, Tennessee","United States",Widowed,NULL,"Oregon State University; Walla Walla College",1
"M.Satyanarayana Reddy",1.1,India,pharmaceutical,2524,63,"Hyderabad, India",India,Married,2,"Ph.D, Osmania University",1
"Ruan Hongxian & family",1.1,China,pharmaceutical,2524,54,"Kunming, China",China,Married,NULL,"Master of Business Administration, Macau University of Science and Technology",1
"Daisuke Sasaki",1.1,Japan,software,2524,40,"Tokyo, Japan",Japan,NULL,NULL,"Bachelor of Commerce, Hitotsubashi University",1
"Jack Schuler",1.1,"United States",pharmaceutical,2524,80,"Lake Bluff, Illinois","United States",Married,3,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Science, Tufts University",1
"Neerja Sethi",1.1,"United States","IT consulting, outsourcing",2524,66,"Fisher Island, Florida","United States",Married,2,"Bachelor of Arts/Science, Delhi University; Master of Business Administration, Delhi University; Master of Science, Oakland University",1
"Michael S. Smith",1.1,"United States","liquefied natural gas",2524,65,"Miami Beach, Florida","United States",Married,2,"Drop Out, University of Colorado",1
