Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
"Fabricio Garcia",2.1,Brazil,retail,1517,43,"Franca, Brazil",Brazil,Married,NULL,"Bachelor of Business Administration, Universidade de Sao Paulo",0
"Gordon Getty",2.1,"United States","Getty Oil",1517,87,"San Francisco, California","United States",Widowed,7,"Bachelor of Arts/Science, San Francisco Conservatory of Music",0
"Dominika Kulczyk",2.1,Poland,diversified,1517,43,"Warsaw, Poland",Poland,Divorced,2,"Master, University of Poznan",0
"Frank Laukien",2.1,"United States","scientific equipment",1517,61,"Boston, Massachusetts","United States",Married,NULL,"Doctorate, Harvard University; Bachelor of Arts/Science, Massachusetts Institute of Technology",0
"Kishore Mariwala",2.1,India,"consumer goods",1517,86,"Mumbai, India",India,Married,2,"Bachelor of Science in Engineering, Bombay University; Master of Science in Engineering, Massachusetts Institute of Technology",0
"Vikas Oberoi",2.1,India,"real estate",1517,50,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, Bombay University",0
"Richard Sands",2.1,"United States",liquor,1517,70,"Delray Beach, Florida","United States",NULL,NULL,"Doctorate, University of North Carolina; Bachelor of Arts/Science, University of Vermont",0
"Robert Sands",2.1,"United States",liquor,1517,62,"Delray Beach, Florida","United States",Married,NULL,"Law Degree, Pace University; Bachelor of Arts/Science, Skidmore College",0
"Roberto Angelini Rossi",2,Chile,"forestry, mining",1580,72,"Santiago, Chile",Chile,Married,4,"Bachelor of Arts/Science, Pontificia Universidad de Chile",0
"J. Hyatt Brown",2,"United States",insurance,1580,83,"Ormond Beach, Florida","United States",Married,NULL,"Bachelor of Arts/Science, University of Florida",0
"John Elkann",2,Italy,"FIAT, investments",1580,45,"Turin, Italy",Italy,NULL,NULL,"Bachelor of Engineering, Politecnico di Torino",0
"Kenneth Feld & family",2,"United States","live entertainment",1580,72,"Sarasota, Florida","United States",Separated,3,"Bachelor of Arts/Science, Boston University",0
"Walter Frey",2,Switzerland,"car dealerships",1580,77,"KÃ¼snacht, Switzerland",Switzerland,NULL,NULL,"Bachelor of Business Administration, London School of Economics; Bachelor of Business Administration, University of Zurich",0
"Bahaa Hariri",2,Lebanon,"real estate, investments",1580,55,"Geneva, Switzerland",Lebanon,Married,NULL,"Bachelor of Arts/Science, Boston University",0
"Jeffrey Lorberbaum",2,"United States",flooring,1580,66,"Chattanooga, Tennessee","United States",Married,NULL,"Bachelor of Arts/Science, University of Denver",0
"Craig McCaw",2,"United States",telecom,1580,71,"Hunts Point, Washington","United States",Married,3,"Bachelor of Arts/Science, Stanford University",0
"Jennifer Pritzker",2,"United States","hotels, investments",1580,70,"Chicago, Illinois","United States",Divorced,3,"Bachelor of Arts/Science, Loyola University Illinois",0
"Georg von Opel",2,Switzerland,"real estate, investments",1580,55,"London, United Kingdom",Switzerland,Married,5,"University of Rhode Island",0
"Amy Wyss",2,"United States","medical equipment",1580,50,"Wilson, Wyoming","United States",NULL,NULL,"Bachelor of Arts/Science, Skidmore College",0
